Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
6.282668000,0,0,0,0,1,1,0,0
6.282720000,1,1,0,0,1,1,0,0
6.282746000,0,0,0,0,1,1,0,0
6.282798000,1,1,0,0,1,1,0,0
6.282954000,0,0,0,0,1,1,0,0
6.283006000,1,0,0,0,1,1,0,0
6.283007000,1,1,0,0,1,1,0,0
6.283059000,0,0,0,0,1,1,0,0
6.283085000,1,1,0,0,1,1,0,0
6.283137000,0,0,0,0,1,1,0,0
6.283163000,1,1,0,0,1,1,0,0
6.283241000,0,0,0,0,1,1,0,0
6.283293000,1,1,0,0,1,1,0,0
6.283319000,0,0,0,0,1,1,0,0
6.283345000,1,0,0,0,1,1,0,0
6.283346000,1,1,0,0,1,1,0,0
6.283371000,0,0,0,0,1,1,0,0
6.283397000,1,0,0,0,1,1,0,0
6.283398000,1,1,0,0,1,1,0,0
6.283528000,0,0,0,0,1,1,0,0
6.283580000,1,1,0,0,1,1,0,0
6.283814000,0,0,0,0,1,1,0,0
6.283867000,1,1,0,0,1,1,0,0
6.283893000,0,0,0,0,1,1,0,0
6.283919000,1,1,0,0,1,1,0,0
6.284101000,0,0,0,0,1,1,0,0
6.284154000,1,1,0,0,1,1,0,0
6.284180000,0,0,0,0,1,1,0,0
6.284206000,1,1,0,0,1,1,0,0
6.284232000,0,0,0,0,1,1,0,0
6.284258000,1,1,0,0,1,1,0,0
6.284284000,0,0,0,0,1,1,0,0
6.284310000,1,1,0,0,1,1,0,0
6.284362000,0,0,0,0,1,1,0,0
6.284441000,1,1,0,0,1,1,0,0
6.284467000,0,0,0,0,1,1,0,0
6.284493000,1,1,0,0,1,1,0,0
6.284519000,0,0,0,0,1,1,0,0
6.284571000,1,1,0,0,1,1,0,0
6.284597000,0,0,0,0,1,1,0,0
6.284623000,1,1,0,0,1,1,0,0
6.284649000,0,0,0,0,1,1,0,0
6.286956000,0,1,1,1,1,1,1,1
6.286982000,0,0,0,0,1,1,1,0
6.286983000,0,0,0,0,1,1,0,0
6.287138000,0,0,0,1,1,1,0,0
6.287139000,0,1,1,1,1,1,1,1
6.287190000,0,0,1,0,1,1,1,1
6.287191000,0,0,0,0,1,1,0,0
6.287217000,0,1,1,1,1,1,1,1
6.287242000,0,0,1,1,1,1,1,1
6.287243000,0,0,0,0,1,1,1,0
6.287244000,0,0,0,0,1,1,0,0
6.287295000,0,1,1,1,1,1,1,1
6.287451000,0,0,1,0,1,1,1,1
6.287452000,0,0,0,0,1,1,0,0
6.287477000,0,0,0,1,1,1,0,0
6.287478000,0,1,1,1,1,1,1,1
6.287529000,0,0,1,0,1,1,1,1
6.287530000,0,0,0,0,1,1,0,0
6.287556000,0,1,1,1,1,1,1,1
6.287712000,0,0,0,0,1,1,1,0
6.287713000,0,0,0,0,1,1,0,0
6.287738000,0,0,0,1,1,1,0,0
6.287739000,0,1,1,1,1,1,1,1
6.287973000,0,0,0,0,1,1,1,0
6.287974000,0,0,0,0,1,1,0,0
6.287999000,0,0,0,1,1,1,1,0
6.288000000,0,1,1,1,1,1,1,1
6.288234000,0,0,0,0,1,1,1,0
6.288235000,0,0,0,0,1,1,0,0
6.288260000,0,0,1,1,1,1,1,1
6.288261000,0,1,1,1,1,1,1,1
6.288286000,0,0,0,0,1,1,1,0
6.288287000,0,0,0,0,1,1,0,0
6.288312000,0,0,0,1,1,1,1,0
6.288313000,0,1,1,1,1,1,1,1
6.288390000,0,0,1,0,1,1,1,1
6.288391000,0,0,0,0,1,1,0,0
6.288416000,0,0,0,1,1,1,0,0
6.288417000,0,1,1,1,1,1,1,1
6.288468000,0,0,1,0,1,1,1,1
6.288469000,0,0,0,0,1,1,0,0
6.288521000,0,1,1,1,1,1,1,1
6.288547000,0,0,0,0,1,1,1,0
6.288548000,0,0,0,0,1,1,0,0
6.288573000,0,0,1,1,1,1,1,1
6.288574000,0,1,1,1,1,1,1,1
6.288729000,0,0,1,0,1,1,1,1
6.288730000,0,0,0,0,1,1,0,0
6.486452000,1,1,0,0,1,1,0,0
6.486478000,0,0,0,0,1,1,0,0
6.486634000,1,0,0,0,1,1,0,0
6.486635000,1,1,0,0,1,1,0,0
6.486686000,1,0,0,0,1,1,0,0
6.486687000,0,0,0,0,1,1,0,0
6.486739000,1,1,0,0,1,1,0,0
6.486765000,0,0,0,0,1,1,0,0
6.486817000,1,1,0,0,1,1,0,0
6.486973000,0,0,0,0,1,1,0,0
6.487026000,1,1,0,0,1,1,0,0
6.487078000,0,0,0,0,1,1,0,0
6.487104000,1,1,0,0,1,1,0,0
6.487156000,0,0,0,0,1,1,0,0
6.487182000,1,1,0,0,1,1,0,0
6.487260000,0,0,0,0,1,1,0,0
6.487312000,1,0,0,0,1,1,0,0
6.487313000,1,1,0,0,1,1,0,0
6.487365000,0,0,0,0,1,1,0,0
6.487417000,1,1,0,0,1,1,0,0
6.487547000,0,0,0,0,1,1,0,0
6.487599000,1,0,0,0,1,1,0,0
6.487600000,1,1,0,0,1,1,0,0
6.487834000,0,0,0,0,1,1,0,0
6.487886000,1,1,0,0,1,1,0,0
6.487912000,0,0,0,0,1,1,0,0
6.487938000,1,1,0,0,1,1,0,0
6.488120000,0,0,0,0,1,1,0,0
6.488173000,1,1,0,0,1,1,0,0
6.488199000,0,0,0,0,1,1,0,0
6.488225000,1,1,0,0,1,1,0,0
6.488251000,0,0,0,0,1,1,0,0
6.488277000,1,1,0,0,1,1,0,0
6.488329000,0,0,0,0,1,1,0,0
6.488381000,1,1,0,0,1,1,0,0
6.488407000,0,0,0,0,1,1,0,0
6.488459000,1,0,0,0,1,1,0,0
6.488460000,1,1,0,0,1,1,0,0
6.488486000,0,0,0,0,1,1,0,0
6.488511000,1,0,0,0,1,1,0,0
6.488512000,1,1,0,0,1,1,0,0
6.488538000,0,0,0,0,1,1,0,0
6.488590000,1,1,0,0,1,1,0,0
6.488616000,0,0,0,0,1,1,0,0
6.488642000,1,1,0,0,1,1,0,0
6.488668000,0,0,0,0,1,1,0,0
6.490728000,0,0,0,1,1,1,1,0
6.490729000,0,1,1,1,1,1,1,1
6.490754000,0,0,0,0,1,1,1,0
6.490755000,0,0,0,0,1,1,0,0
6.490911000,0,1,1,1,1,1,1,1
6.490963000,0,0,0,0,1,1,1,0
6.490964000,0,0,0,0,1,1,0,0
6.490989000,0,1,1,1,1,1,1,1
6.491015000,0,0,0,0,1,1,1,0
6.491016000,0,0,0,0,1,1,0,0
6.491067000,0,0,0,1,1,1,1,0
6.491068000,0,1,1,1,1,1,1,1
6.491223000,0,0,1,1,1,1,1,1
6.491224000,0,0,0,0,1,1,1,0
6.491225000,0,0,0,0,1,1,0,0
6.491250000,0,1,1,1,1,1,1,1
6.491302000,0,0,0,0,1,1,1,0
6.491303000,0,0,0,0,1,1,0,0
6.491328000,0,0,0,1,1,1,1,1
6.491329000,0,1,1,1,1,1,1,1
6.491484000,0,0,1,0,1,1,1,1
6.491485000,0,0,0,0,1,1,0,0
6.491511000,0,1,1,1,1,1,1,1
6.491745000,0,0,0,0,1,1,1,1
6.491746000,0,0,0,0,1,1,0,0
6.491771000,0,0,0,1,1,1,0,0
6.491772000,0,1,1,1,1,1,1,1
6.492006000,0,0,0,0,1,1,1,0
6.492007000,0,0,0,0,1,1,0,0
6.492032000,0,0,0,1,1,1,0,0
6.492033000,0,1,1,1,1,1,1,1
6.492058000,0,0,1,0,1,1,1,1
6.492059000,0,0,0,0,1,1,0,0
6.492084000,0,0,0,1,1,1,0,0
6.492085000,0,1,1,1,1,1,1,1
6.492162000,0,0,1,1,1,1,1,1
6.492163000,0,0,0,0,1,1,1,0
6.492164000,0,0,0,0,1,1,0,0
6.492189000,0,1,1,1,1,1,1,1
6.492241000,0,0,0,0,1,1,1,0
6.492242000,0,0,0,0,1,1,0,0
6.492293000,0,0,0,1,1,1,1,0
6.492294000,0,1,1,1,1,1,1,1
6.492319000,0,0,0,0,1,1,1,0
6.492320000,0,0,0,0,1,1,0,0
6.492345000,0,0,0,1,1,1,0,0
6.492346000,0,1,1,1,1,1,1,1
6.492502000,0,0,0,0,1,1,1,0
6.492503000,0,0,0,0,1,1,0,0
6.684519000,1,1,0,0,1,1,0,0
6.684545000,0,0,0,0,1,1,0,0
6.684701000,1,1,0,0,1,1,0,0
6.684753000,0,0,0,0,1,1,0,0
6.684805000,1,0,0,0,1,1,0,0
6.684806000,1,1,0,0,1,1,0,0
6.684832000,0,0,0,0,1,1,0,0
6.684884000,1,1,0,0,1,1,0,0
6.685040000,0,0,0,0,1,1,0,0
6.685092000,1,0,0,0,1,1,0,0
6.685093000,1,1,0,0,1,1,0,0
6.685144000,0,0,0,0,1,1,0,0
6.685170000,1,0,0,0,1,1,0,0
6.685171000,1,1,0,0,1,1,0,0
6.685222000,0,0,0,0,1,1,0,0
6.685248000,1,0,0,0,1,1,0,0
6.685249000,1,1,0,0,1,1,0,0
6.685327000,0,0,0,0,1,1,0,0
6.685379000,1,1,0,0,1,1,0,0
6.685405000,0,0,0,0,1,1,0,0
6.685483000,1,1,0,0,1,1,0,0
6.685613000,0,0,0,0,1,1,0,0
6.685666000,1,1,0,0,1,1,0,0
6.685900000,0,0,0,0,1,1,0,0
6.685953000,1,1,0,0,1,1,0,0
6.685979000,0,0,0,0,1,1,0,0
6.686005000,1,1,0,0,1,1,0,0
6.686187000,0,0,0,0,1,1,0,0
6.686239000,1,0,0,0,1,1,0,0
6.686240000,1,1,0,0,1,1,0,0
6.686318000,0,0,0,0,1,1,0,0
6.686344000,1,1,0,0,1,1,0,0
6.686370000,0,0,0,0,1,1,0,0
6.686422000,1,1,0,0,1,1,0,0
6.686474000,0,0,0,0,1,1,0,0
6.686526000,1,0,0,0,1,1,0,0
6.686527000,1,1,0,0,1,1,0,0
6.686552000,0,0,0,0,1,1,0,0
6.686578000,1,0,0,0,1,1,0,0
